"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"21","Ottawa Senators","246","14907.25","109","118","19","99","237","0.482","14783","14613","50.29","11008","10702","50.70","7813","7745","50.22","733","815","47.35","785.58","768.25","50.56","7383","7432","49.83","4233","4244","49.94","599","666","47.35","14.15","84.31","3090","2978","50.92","2155","2085","50.83","386","404","48.86","17.91","80.62","4293","4454","49.08","2078","2159","49.04","213","262","44.84","10.25","87.86","7096","6887","50.75","3098","3071","50.22","113","133","45.93","3.65","95.67","9.38","89.48","0.989"
"22","Philadelphia Flyers","246","14918.5833","94","117","35","87","223","0.453","14214","15002","48.65","10579","10720","49.67","7664","7597","50.22","661","828","44.39","699.19","763.17","47.81","6584","7396","47.10","3819","4107","48.18","534","669","44.39","13.98","83.71","2833","2997","48.59","1967","2061","48.83","354","403","46.76","18.00","80.45","3751","4399","46.02","1852","2046","47.51","180","266","40.36","9.72","87.00","7314","7367","49.82","3380","3064","52.45","116","140","45.31","3.43","95.43","8.62","89.10","0.977"
"23","Pittsburgh Penguins","246","14930.3333","124","88","34","118","282","0.573","15469","14422","51.75","11545","10765","51.75","8354","7744","51.89","783","733","51.65","847.65","745.68","53.20","7892","7085","52.69","4614","4173","52.51","625","603","50.90","13.55","85.55","3406","2888","54.12","2463","2089","54.11","430","419","50.65","17.46","79.94","4486","4197","51.66","2151","2084","50.79","195","184","51.45","9.07","91.17","7409","7143","50.91","3262","3167","50.74","136","118","53.54","4.17","96.27","9.37","90.53","0.999"
"24","San Jose Sharks","246","14930.5333","73","135","38","68","184","0.374","13322","15900","45.59","9763","11588","45.73","6887","8143","45.82","624","902","40.89","676.31","832.05","44.84","6681","8080","45.26","3745","4522","45.30","495","750","39.76","13.22","83.41","2768","3223","46.20","1878","2201","46.04","304","438","40.97","16.19","80.10","3913","4857","44.62","1867","2321","44.58","191","312","37.97","10.23","86.56","7546","9052","45.46","2749","3223","46.03","114","131","46.53","4.15","95.94","9.06","88.92","0.980"
"25","Seattle Kraken","246","14909.4167","107","112","27","101","241","0.490","14214","13522","51.25","10362","10063","50.73","7227","6976","50.88","716","768","48.25","689.06","698.13","49.67","6750","6493","50.97","3770","3573","51.34","569","629","47.50","15.09","82.40","2653","2669","49.85","1816","1784","50.44","339","408","45.38","18.67","77.13","4097","3824","51.72","1954","1789","52.20","230","221","51.00","11.77","87.65","7255","6975","50.98","3114","3008","50.87","129","114","53.09","4.14","96.21","9.91","88.99","0.989"
"26","St Louis Blues","246","14911.0833","129","93","24","119","282","0.573","13025","14665","47.04","9892","11144","47.02","7203","7879","47.76","803","785","50.57","702.3","808.24","46.49","6908","7586","47.66","4125","4391","48.44","668","637","51.19","16.19","85.49","2594","3135","45.28","1892","2169","46.59","373","405","47.94","19.71","81.33","4314","4451","49.22","2233","2222","50.12","295","232","55.98","13.21","89.56","6093","7028","46.44","2684","3133","46.14","115","126","47.72","4.28","95.98","11.15","90.04","1.012"
"27","Tampa Bay Lightning","245","14856.8","141","82","22","133","304","0.620","14419","13816","51.07","10780","10265","51.22","7559","7445","50.38","853","746","53.35","781.59","740.2","51.36","7583","7099","51.65","4294","4114","51.07","686","601","53.30","15.98","85.39","3131","2855","52.31","2172","2061","51.31","441","377","53.91","20.30","81.71","4452","4244","51.20","2122","2053","50.83","245","224","52.24","11.55","89.09","7848","7485","51.18","2966","2993","49.77","152","125","54.87","5.12","95.82","11.28","89.98","1.013"
"28","Toronto Maple Leafs","245","14869.2833","150","67","28","141","328","0.669","15104","14043","51.82","11354","10410","52.17","8135","7378","52.44","888","733","54.78","834.17","709.01","54.06","8244","6965","54.20","4798","3990","54.60","753","606","55.41","15.69","84.81","3519","2856","55.20","2482","1991","55.49","469","363","56.37","18.90","81.77","4725","4109","53.49","2316","1999","53.67","284","243","53.89","12.26","87.84","6902","6881","50.08","2984","3013","49.76","113","116","49.34","3.79","96.15","10.92","90.07","1.010"
"29","Vancouver Canucks","246","14940.25","128","90","28","119","284","0.577","14133","13989","50.26","10441","10424","50.04","7389","7480","49.69","795","748","51.52","749.44","738.57","50.37","7195","7044","50.53","4097","4116","49.88","650","609","51.63","15.87","85.20","2971","2953","50.15","2066","2108","49.50","420","395","51.53","20.33","81.26","4224","4091","50.80","2031","2008","50.28","230","214","51.80","11.32","89.34","6771","6723","50.18","2926","2981","49.53","126","122","50.81","4.31","95.91","10.76","90.00","1.008"
"30","Vegas Golden Knights","246","14952.5","139","82","25","126","303","0.616","14832","14950","49.80","10897","10536","50.84","7965","7480","51.57","792","712","52.66","771.28","723.06","51.61","7327","7295","50.11","4321","3916","52.46","656","563","53.81","15.18","85.62","3089","2845","52.06","2217","1951","53.19","414","357","53.70","18.67","81.70","4238","4450","48.78","2104","1965","51.71","242","206","54.02","11.50","89.52","7243","7299","49.81","3179","3148","50.24","110","131","45.64","3.46","95.84","9.94","90.48","1.004"
"31","Winnipeg Jets","246","14879.7333","137","89","20","134","294","0.598","14466","14199","50.47","10857","10661","50.46","7620","7637","49.94","755","675","52.80","780.87","759.79","50.68","7294","7083","50.73","4136","4106","50.18","626","545","53.46","15.14","86.73","3078","3083","49.96","2134","2105","50.34","400","372","51.81","18.74","82.33","4216","4000","51.31","2002","2001","50.01","226","173","56.64","11.29","91.35","7035","6880","50.56","3130","3101","50.23","111","109","50.45","3.55","96.49","9.91","91.16","1.011"
"32","Washington Capitals","246","14960.4167","119","94","33","108","271","0.551","14101","14642","49.06","10386","10676","49.31","7299","7432","49.55","739","755","49.46","740.08","751.49","49.62","6936","7042","49.62","3903","3968","49.59","596","609","49.46","15.27","84.65","2854","2922","49.41","1946","2008","49.22","379","412","47.91","19.48","79.48","4082","4120","49.77","1957","1960","49.96","217","197","52.42","11.09","89.95","6818","7366","48.07","3001","3074","49.40","122","131","48.22","4.07","95.74","10.12","89.84","1.000"
