"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"11","Edmonton Oilers","39","2357.1833","24","12","3","24","51","0.654","2439","2097","53.77","1757","1499","53.96","1241","1022","54.84","128","109","54.01","125.23","104.23","54.58","1191","981","54.83","655","512","56.13","107","88","54.87","16.34","82.81","505","356","58.65","339","213","61.41","65","42","60.75","19.17","80.28","686","625","52.33","316","299","51.38","42","46","47.73","13.29","84.62","1454","1225","54.27","516","456","53.09","19","18","51.35","3.68","96.05","10.31","89.33","0.996"
"12","Florida Panthers","40","2428.1","24","14","2","21","50","0.625","2541","2160","54.05","1832","1622","53.04","1220","1095","52.70","132","124","51.56","121.59","110.82","52.32","1145","947","54.73","596","538","52.56","96","94","50.53","16.11","82.53","452","416","52.07","291","284","50.61","64","60","51.61","21.99","78.87","693","531","56.62","305","254","54.56","32","34","48.48","10.49","86.61","1619","1379","54.00","572","475","54.63","34","25","57.63","5.94","94.74","10.82","88.68","0.995"
"13","Los Angeles Kings","38","2295.15","23","10","5","23","51","0.671","2256","2059","52.28","1610","1436","52.86","1033","953","52.01","118","95","55.40","113.8","94.84","54.55","999","952","51.20","493","494","49.95","86","74","53.75","17.44","85.02","434","383","53.12","263","256","50.67","55","46","54.46","20.91","82.03","565","569","49.82","230","238","49.15","31","28","52.54","13.48","88.24","1364","1212","52.95","475","400","54.29","25","18","58.14","5.26","95.50","11.42","90.03","1.015"
"14","Minnesota Wild","40","2431.1","25","11","4","23","54","0.675","2283","2423","48.51","1660","1730","48.97","1138","1163","49.46","119","105","53.13","112.44","105.14","51.68","1039","1053","49.67","540","556","49.27","87","82","51.48","16.11","85.25","434","401","51.98","271","261","50.94","50","46","52.08","18.45","82.38","605","652","48.13","269","295","47.70","37","36","50.68","13.75","87.80","1353","1554","46.54","531","542","49.49","24","18","57.14","4.52","96.68","10.46","90.97","1.014"
"15","Montreal Canadiens","39","2363.05","18","18","3","16","39","0.500","2118","2436","46.51","1505","1702","46.93","989","1135","46.56","115","131","46.75","109.75","130.68","45.65","1055","1186","47.08","530","631","45.65","90","102","46.88","16.98","83.84","390","492","44.22","237","316","42.86","49","61","44.55","20.68","80.70","665","694","48.93","293","315","48.19","41","41","50.00","13.99","86.98","1197","1385","46.36","406","442","47.88","23","26","46.94","5.67","94.12","11.63","88.46","1.001"
"16","New Jersey Devils","42","2530.5833","24","15","3","24","51","0.607","2649","2368","52.80","1884","1699","52.58","1264","1070","54.16","134","107","55.60","151.79","116.06","56.67","1317","1079","54.97","717","544","56.86","117","80","59.39","16.32","85.29","556","433","56.22","368","266","58.04","62","50","55.36","16.85","81.20","761","646","54.09","349","278","55.66","55","30","64.71","15.76","89.21","1522","1438","51.42","490","460","51.58","15","22","40.54","3.06","95.22","10.60","90.00","1.006"
"17","Nashville Predators","40","2417.1333","13","20","7","13","33","0.413","2457","2337","51.25","1732","1710","50.32","1164","1185","49.55","98","123","44.34","124","118.71","51.09","1128","1111","50.38","561","615","47.70","78","91","46.15","13.90","85.20","458","463","49.73","281","312","47.39","52","50","50.98","18.51","83.97","670","648","50.83","280","303","48.03","26","41","38.81","9.29","86.47","1514","1388","52.17","536","501","51.69","14","27","34.15","2.61","94.61","8.42","89.62","0.980"
"18","New York Islanders","40","2432.1167","15","18","7","13","37","0.463","2385","2359","50.27","1745","1689","50.82","1160","1147","50.28","106","127","45.49","121.08","111.67","52.02","1106","1097","50.20","599","597","50.08","89","97","47.85","14.86","83.75","447","433","50.80","293","295","49.83","60","56","51.72","20.48","81.02","659","664","49.81","306","302","50.33","29","41","41.43","9.48","86.42","1490","1350","52.46","499","476","51.18","11","22","33.33","2.20","95.38","9.14","88.93","0.981"
"19","New York Rangers","39","2344.0833","18","20","1","18","37","0.474","2370","2430","49.38","1740","1802","49.12","1175","1221","49.04","113","123","47.88","124.44","137.74","47.46","1103","1185","48.21","616","666","48.05","88","110","44.44","14.29","83.48","448","525","46.04","316","354","47.16","50","67","42.74","15.82","81.07","655","660","49.81","300","312","49.02","38","43","46.91","12.67","86.22","1462","1408","50.94","500","505","49.75","21","11","65.63","4.20","97.82","9.62","89.93","0.995"
"20","Ottawa Senators","38","2293.3","19","17","2","19","40","0.526","2327","2179","51.64","1655","1541","51.78","1126","1040","51.99","112","110","50.45","109.26","109.1","50.04","1081","1024","51.35","576","554","50.97","95","87","52.20","16.49","84.30","400","411","49.32","258","274","48.50","48","58","45.28","18.60","78.83","681","613","52.63","318","280","53.18","47","29","61.84","14.78","89.64","1403","1301","51.89","481","427","52.97","16","20","44.44","3.33","95.32","9.95","89.42","0.994"
"21","Philadelphia Flyers","40","2442.8333","17","18","5","14","39","0.488","2228","2426","47.87","1625","1651","49.60","1099","1083","50.37","120","142","45.80","114.18","113.84","50.07","1068","1136","48.46","586","568","50.78","86","109","44.10","14.68","80.81","448","433","50.85","301","276","52.17","54","65","45.38","17.94","76.45","620","703","46.86","285","292","49.39","32","44","42.11","11.23","84.93","1333","1396","48.85","460","437","51.28","33","30","52.38","7.17","93.14","10.92","86.89","0.978"
"22","Pittsburgh Penguins","41","2497.3167","17","17","7","16","41","0.500","2468","2569","49.00","1757","1874","48.39","1174","1291","47.63","124","149","45.42","131.78","133.03","49.76","1148","1245","47.97","612","702","46.58","100","121","45.25","16.34","82.76","533","515","50.86","351","346","50.36","65","73","47.10","18.52","78.90","615","730","45.72","261","356","42.30","35","48","42.17","13.41","86.52","1503","1506","49.95","506","523","49.17","20","26","43.48","3.95","95.03","10.56","88.46","0.990"
"23","San Jose Sharks","42","2547.0833","13","23","6","13","32","0.381","2384","2789","46.09","1684","2025","45.40","1141","1360","45.62","110","145","43.14","110.13","145.97","43.00","1059","1362","43.74","548","734","42.75","79","121","39.50","14.42","83.51","416","518","44.54","258","327","44.10","38","59","39.18","14.73","81.96","643","844","43.24","290","407","41.61","41","62","39.81","14.14","84.77","1470","1600","47.88","521","560","48.20","30","19","61.22","5.76","96.61","9.64","89.34","0.990"
"24","Seattle Kraken","40","2419.9667","17","20","3","16","37","0.463","2343","2555","47.84","1690","1815","48.22","1069","1137","48.46","115","125","47.92","107.48","132.14","44.85","993","1111","47.20","499","567","46.81","85","94","47.49","17.03","83.42","427","466","47.82","252","280","47.37","56","55","50.45","22.22","80.36","566","645","46.74","247","287","46.25","29","39","42.65","11.74","86.41","1478","1583","48.28","504","504","50.00","28","26","51.85","5.56","94.84","10.76","89.01","0.998"
"25","St Louis Blues","41","2484.0333","19","18","4","18","42","0.512","2235","2420","48.01","1566","1722","47.63","1092","1165","48.38","113","123","47.88","109.03","115.98","48.46","1084","1150","48.52","600","589","50.46","94","97","49.21","15.67","83.53","424","430","49.65","289","283","50.52","55","57","49.11","19.03","79.86","660","720","47.83","311","306","50.41","39","40","49.37","12.54","86.93","1333","1477","47.44","429","515","45.44","17","21","44.74","3.96","95.92","10.35","89.44","0.998"
"26","Tampa Bay Lightning","37","2234.7833","20","15","2","20","42","0.568","2177","2109","50.79","1533","1498","50.58","1049","1051","49.95","137","104","56.85","110.37","104.71","51.31","1028","959","51.74","565","541","51.08","106","83","56.08","18.76","84.66","448","383","53.91","309","268","53.55","70","42","62.50","22.65","84.33","580","576","50.17","256","273","48.39","36","41","46.75","14.06","84.98","1293","1306","49.75","420","437","49.01","28","18","60.87","6.67","95.88","13.06","90.10","1.032"
"27","Toronto Maple Leafs","41","2474.8167","26","13","2","26","54","0.659","2368","2525","48.40","1732","1782","49.29","1173","1204","49.35","129","113","53.31","127.05","126.41","50.13","1170","1178","49.83","630","611","50.77","106","88","54.64","16.83","85.60","503","451","52.73","321","282","53.23","65","48","57.52","20.25","82.98","667","727","47.85","309","329","48.43","41","40","50.62","13.27","87.84","1358","1517","47.23","474","525","47.45","17","22","43.59","3.59","95.81","11.00","90.61","1.016"
"28","Utah Hockey Club","39","2377.4","17","15","7","17","41","0.526","2343","2297","50.50","1669","1620","50.74","1070","1125","48.75","113","116","49.34","113.75","119.71","48.72","1072","1082","49.77","556","560","49.82","92","94","49.46","16.55","83.21","391","424","47.98","260","280","48.15","55","53","50.93","21.15","81.07","681","658","50.86","296","280","51.39","37","41","47.44","12.50","85.36","1405","1385","50.36","450","507","47.02","19","19","50.00","4.22","96.25","10.56","89.69","1.002"
"29","Vancouver Canucks","38","2316.0333","18","12","8","17","44","0.579","2068","2199","48.46","1467","1592","47.96","975","1060","47.91","115","120","48.94","98.73","107.22","47.94","941","1004","48.38","500","525","48.78","94","94","50.00","18.80","82.10","375","424","46.93","252","270","48.28","60","57","51.28","23.81","78.89","566","580","49.39","248","255","49.30","34","37","47.89","13.71","85.49","1270","1364","48.22","409","471","46.48","16","23","41.03","3.91","95.12","11.79","88.68","1.005"
"30","Vegas Golden Knights","39","2361.2333","27","9","3","26","57","0.731","2303","2420","48.76","1677","1704","49.60","1188","1084","52.29","138","104","57.02","119.18","115.47","50.79","1104","1111","49.84","612","544","52.94","119","82","59.20","19.44","84.93","463","464","49.95","292","266","52.33","65","47","58.04","22.26","82.33","641","647","49.77","320","278","53.51","54","35","60.67","16.88","87.41","1375","1390","49.73","509","481","51.41","15","20","42.86","2.95","95.84","11.62","90.41","1.020"
"31","Winnipeg Jets","41","2474.25","27","12","2","27","56","0.683","2334","2506","48.22","1728","1813","48.80","1155","1196","49.13","147","104","58.57","123.11","125.86","49.45","1055","1108","48.77","562","567","49.78","111","77","59.04","19.75","86.42","461","463","49.89","301","285","51.37","69","50","57.98","22.92","82.46","594","645","47.94","261","282","48.07","42","27","60.87","16.09","90.43","1452","1548","48.40","518","551","48.46","31","20","60.78","5.98","96.37","12.73","91.30","1.040"
"32","Washington Capitals","39","2357.5833","26","10","3","26","55","0.705","2356","2373","49.82","1708","1637","51.06","1099","1078","50.48","145","103","58.47","135.45","121.11","52.79","1167","1064","52.31","598","535","52.78","112","82","57.73","18.73","84.67","480","425","53.04","287","282","50.44","68","56","54.84","23.69","80.14","687","639","51.81","311","253","55.14","44","26","62.86","14.15","89.72","1346","1489","47.48","437","494","46.94","30","21","58.82","6.86","95.75","13.19","90.45","1.036"
