"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","39","2372.0833","17","18","4","15","38","0.487","2297","2649","46.44","1661","1898","46.67","1099","1243","46.93","99","117","45.83","114.16","142.07","44.55","1040","1290","44.64","567","661","46.17","75","98","43.35","13.23","85.17","414","559","42.55","277","356","43.76","49","65","42.98","17.69","81.74","626","731","46.13","290","305","48.74","26","33","44.07","8.97","89.18","1315","1591","45.25","462","522","46.95","20","15","57.14","4.33","97.13","9.01","90.59","0.996"
"2","Boston Bruins","42","2549.8833","20","17","5","20","45","0.536","2421","2377","50.46","1732","1706","50.38","1172","1134","50.82","111","131","45.87","128.86","113.87","53.09","1161","1090","51.58","598","567","51.33","92","110","45.54","15.38","80.60","484","428","53.07","317","271","53.91","57","63","47.50","17.98","76.75","677","662","50.56","281","296","48.70","35","47","42.68","12.46","84.12","1444","1439","50.09","493","498","49.75","17","17","50.00","3.45","96.59","9.47","88.45","0.979"
"3","Buffalo Sabres","40","2425.95","14","21","5","13","33","0.413","2381","2370","50.12","1691","1723","49.53","1080","1164","48.13","121","136","47.08","112.26","128.06","46.71","1067","1168","47.74","522","637","45.04","99","114","46.48","18.97","82.10","428","464","47.98","247","293","45.74","61","68","47.29","24.70","76.79","639","704","47.58","275","344","44.43","38","46","45.24","13.82","86.63","1464","1448","50.27","495","467","51.46","18","17","51.43","3.64","96.36","11.20","88.32","0.995"
"4","Carolina Hurricanes","40","2417.1667","24","14","2","24","50","0.625","2789","1950","58.85","2023","1454","58.18","1274","1002","55.98","135","112","54.66","140.23","116.12","54.70","1290","986","56.68","653","578","53.05","101","84","54.59","15.47","85.47","503","455","52.51","317","320","49.76","65","51","56.03","20.50","84.06","787","531","59.71","336","258","56.57","36","33","52.17","10.71","87.21","1754","1127","60.88","574","363","61.26","31","25","55.36","5.40","93.11","10.60","88.82","0.994"
"5","Columbus Blue Jackets","40","2424.6833","17","17","6","15","40","0.500","2409","2440","49.68","1722","1745","49.67","1207","1167","50.84","135","145","48.21","120.01","123.46","49.29","1076","1137","48.62","606","606","50.00","106","112","48.62","17.49","81.52","441","500","46.87","300","329","47.69","58","69","45.67","19.33","79.03","635","637","49.92","306","277","52.49","48","43","52.75","15.69","84.48","1442","1474","49.45","511","508","50.15","24","31","43.64","4.70","93.90","11.18","87.57","0.988"
"6","Calgary Flames","39","2378.4167","18","14","7","15","43","0.551","2480","2321","51.66","1721","1640","51.20","1149","1141","50.17","102","119","46.15","115.13","115.75","49.86","1117","1124","49.84","582","597","49.36","79","97","44.89","13.57","83.75","433","436","49.83","276","291","48.68","42","61","40.78","15.22","79.04","684","688","49.85","306","306","50.00","37","36","50.68","12.09","88.24","1505","1441","51.09","498","480","50.92","19","20","48.72","3.82","95.83","8.88","89.57","0.984"
"7","Chicago Blackhawks","40","2408.5667","13","25","2","12","28","0.350","2033","2481","45.04","1471","1786","45.16","1022","1207","45.85","101","137","42.44","101.79","131.02","43.72","941","1170","44.58","517","625","45.27","79","108","42.25","15.28","82.72","387","494","43.93","252","327","43.52","45","70","39.13","17.86","78.59","554","676","45.04","265","298","47.07","34","38","47.22","12.83","87.25","1217","1509","44.64","455","512","47.05","20","24","45.45","4.40","95.31","9.88","88.65","0.985"
"8","Colorado Avalanche","40","2417.9","24","15","1","23","49","0.613","2496","2233","52.78","1738","1571","52.52","1177","1066","52.47","136","129","51.32","125.29","117.68","51.57","1209","1006","54.58","634","542","53.91","97","95","50.52","15.30","82.47","452","439","50.73","310","288","51.84","57","69","45.24","18.39","76.04","757","567","57.18","324","254","56.06","40","26","60.61","12.35","89.76","1439","1372","51.19","472","455","50.92","29","26","52.73","6.14","94.29","11.55","87.90","0.995"
"9","Dallas Stars","38","2291.1167","24","13","1","23","49","0.645","2424","2034","54.37","1707","1492","53.36","1171","996","54.04","122","95","56.22","133.02","105.7","55.72","1191","982","54.81","640","505","55.90","99","80","55.31","15.47","84.16","500","412","54.82","341","252","57.50","60","46","56.60","17.60","81.75","691","570","54.80","299","253","54.17","39","34","53.42","13.04","86.56","1440","1222","54.09","464","421","52.43","19","14","57.58","4.09","96.67","10.42","90.46","1.009"
"10","Detroit Red Wings","39","2357.4","17","18","4","16","38","0.487","2140","2411","47.02","1497","1741","46.23","986","1146","46.25","106","126","45.69","108.43","118.59","47.76","1026","1093","48.42","551","553","49.91","88","87","50.29","15.97","84.27","379","418","47.55","236","260","47.58","41","50","45.05","17.37","80.77","647","675","48.94","315","293","51.81","47","37","55.95","14.92","87.37","1293","1483","46.58","375","527","41.57","15","37","28.85","4.00","92.98","10.75","89.01","0.998"
