"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"183","Jason Zucker","ARI, NSH, PIT","L","188","2782.65","49","48","25","23","97","65.54","449","10.91","52.94","760","634","461","245","22","68","141","46","37","5","4","53","98","76","361","240","64","21","42","33.33"
"453","Frederick Gaudreau","MIN","C","225","3489.3","38","59","30","29","97","64.24","375","10.13","34.76","619","487","332","127","29","42","30","15","15","0","0","23","64","97","114","177","129","1234","1250","49.68"
"1034","Alex Newhook","COL, MTL","C","208","3038.1666666667","42","55","27","28","97","62.18","314","13.38","35.89","576","415","377","153","13","36","52","26","26","0","0","29","63","67","136","269","86","573","814","41.31"
"833","Eetu Luostarinen","FLA","C","242","3665.2166666667","38","58","31","27","96","60.00","335","11.34","45.34","633","482","426","225","25","59","66","31","31","0","0","50","97","136","296","413","145","592","807","42.32"
"51","Kyle Okposo","BUF, FLA","R","216","3236.8666666667","44","51","23","28","95","71.43","439","10.02","43.33","740","585","427","194","21","65","111","49","47","1","1","40","69","72","212","223","76","387","423","47.78"
"447","Conor Sheary","T.B, WSH","L","210","3010.9","38","57","35","22","95","63.33","333","11.41","38.92","563","464","346","165","21","30","48","24","24","0","0","34","52","106","121","258","106","35","42","45.45"
"491","Warren Foegele","EDM","L","231","3031.2","45","50","34","16","95","71.97","469","9.59","59.23","845","666","542","281","38","86","99","43","41","1","1","46","92","133","312","293","61","25","27","48.08"
"559","Tommy Novak","NSH","C","149","2073.9666666667","36","59","32","27","95","71.43","231","15.58","25.7","446","339","281","97","14","39","18","9","9","0","0","28","45","88","18","223","59","452","591","43.34"
"667","Jakob Chychrun","ARI, OTT","D","177","4005.0166666667","30","65","25","40","95","47.26","489","6.13","30.17","1059","755","318","52","18","76","137","59","56","1","2","25","156","59","178","315","285","0","0","-"
"785","Eeli Tolvanen","NSH, SEA","R","217","3159.6","45","50","27","23","95","57.58","420","10.71","40.22","814","605","413","137","19","56","54","27","27","0","0","21","57","68","476","187","162","15","33","31.25"
"439","Anthony Mantha","VGK, WSH","R","178","2566.4666666667","43","51","32","19","94","65.73","314","13.69","34.2","554","423","332","159","18","43","70","28","24","4","0","28","68","59","169","115","69","15","17","46.88"
"201","Jaden Schwartz","SEA","C","170","2934.3666666667","42","51","31","20","93","60.39","386","10.88","48.71","669","524","421","222","23","50","60","30","30","0","0","32","68","112","143","210","63","182","171","51.56"
"338","Colton Sissons","NSH","C","242","3917.1333333333","34","59","30","29","93","57.06","305","11.15","46.73","583","474","379","200","17","55","88","44","44","0","0","43","83","84","489","253","155","1930","1646","53.97"
"520","Pierre Engvall","NYI, TOR","L","228","3206.4166666667","42","51","34","17","93","64.14","414","10.14","43.62","761","573","424","179","21","57","69","32","31","1","0","26","116","79","141","303","38","87","100","46.52"
"888","K'Andre Miller","NYR","D","241","5147.7666666667","24","69","26","43","93","37.65","311","7.72","19.64","702","456","220","48","18","39","110","48","45","2","1","23","139","177","462","268","301","0","0","-"
"130","Mike Hoffman","MTL, S.J","C, L","200","3098.2333333333","39","53","27","26","92","63.89","373","10.46","34.1","706","518","303","104","17","55","80","40","40","0","0","20","99","82","79","113","75","40","40","50.00"
"246","Adam Lowry","WPG","C, L","242","3810.4666666667","38","54","34","20","92","61.33","360","10.56","56.8","639","538","458","272","18","74","164","48","27","20","1","57","64","105","573","336","144","1835","1789","50.63"
"286","Vladislav Namestnikov","DAL, DET, T.B, WPG","C","230","3199.1833333333","35","57","29","28","92","60.13","294","11.90","42.06","513","409","349","195","14","45","117","47","41","5","1","54","50","71","262","306","95","276","463","37.35"
"374","Dominik Kubalik","CHI, DET, OTT","L","233","3237.65","46","46","24","22","92","60.93","426","10.80","50.16","773","601","415","178","25","52","59","27","26","1","0","34","64","48","237","123","72","40","52","43.48"
"319","Jacob Trouba","NYR","D","232","5020.4166666667","22","69","36","33","91","39.22","532","4.14","25.76","1021","693","293","64","27","102","224","83","67","14","2","59","145","69","617","267","510","0","1","0.00"
"350","Erik Gustafsson","CHI, NYR, TOR, WSH","D","205","3662.75","16","75","41","34","91","44.39","294","5.44","15.06","682","455","180","28","12","37","72","33","31","2","0","21","124","62","160","299","176","0","0","-"
"504","Danton Heinen","BOS, PIT","L","215","2736","43","48","30","18","91","67.91","353","12.18","40.17","593","476","381","167","25","47","56","28","28","0","0","15","64","93","225","259","98","14","26","35.00"
"577","Anthony Beauvillier","CHI, NSH, NYI, VAN","L","217","3411.2166666667","35","56","35","21","91","56.17","435","8.05","47.16","736","595","517","201","21","65","44","21","21","0","0","27","98","99","170","303","85","47","54","46.53"
"1035","Ilya Mikheyev","TOR, VAN","R","177","2699.3","45","46","27","19","91","64.08","385","11.69","40.93","583","493","393","202","18","47","32","11","10","0","1","35","52","55","115","160","48","10","31","24.39"
"181","Calle Jarnkrok","CGY, SEA, TOR","C","191","2901.7666666667","42","48","26","22","90","60.00","299","14.05","36.41","539","423","341","154","13","42","38","19","19","0","0","33","35","64","143","277","48","346","347","49.93"
"469","Sonny Milano","ANA, WSH","L","179","2447.3","40","50","30","20","90","65.22","224","17.86","28.2","410","329","268","150","10","25","38","18","18","0","0","18","80","73","86","278","41","0","2","0.00"
"595","Ivan Provorov","CBJ, PHI","D","243","5671.55","20","70","30","40","90","38.79","392","5.10","17.93","817","548","243","40","12","54","78","39","39","0","0","30","209","73","237","385","449","0","0","-"
"7","Jeff Carter","PIT","C","227","3330.8666666667","43","46","26","20","89","63.12","429","10.02","48.99","730","563","412","221","33","81","80","38","38","0","0","22","92","82","262","184","128","1470","1029","58.82"
"678","Trent Frederic","BOS","C","221","2768.9166666667","43","46","29","17","89","67.94","343","12.54","39.87","576","461","374","179","31","70","183","63","44","19","0","53","60","64","429","342","106","191","261","42.26"
"772","Morgan Geekie","BOS, SEA","C","218","2813.75","33","56","27","29","89","60.14","308","10.71","31.17","531","428","307","138","21","40","70","32","30","2","0","31","70","85","245","311","95","939","994","48.58"
"774","Michael Rasmussen","DET","C","211","3146.0666666667","38","51","35","16","89","63.57","318","11.95","43.45","530","442","374","221","25","57","156","70","67","2","1","73","37","65","385","367","169","671","666","50.19"
"868","Pius Suter","DET, VAN","C","228","3536.7333333333","43","46","30","16","89","60.96","377","11.41","48.03","635","507","446","239","29","63","44","22","22","0","0","34","58","108","117","111","92","895","943","48.69"
"60","Phil Kessel","ARI, VGK","C, R","164","2417.95","22","66","33","33","88","66.67","324","6.79","32.38","571","429","325","118","16","48","70","31","30","0","1","10","80","75","16","66","42","9","15","37.50"
"324","Colton Parayko","STL","D","241","5657.4","20","68","24","44","88","33.98","422","4.74","19.41","809","577","209","40","14","47","71","34","33","1","0","31","150","183","300","361","503","0","0","-"
"475","Kasperi Kapanen","PIT, STL","R","218","3101.25","32","56","38","18","88","65.19","344","9.30","31.09","595","471","312","115","29","39","48","24","24","0","0","28","66","94","273","217","62","48","81","37.21"
"487","Ryan Donato","CHI, SEA","C","223","2911.8","42","46","32","14","88","65.67","430","9.77","47.53","717","572","422","225","23","63","112","39","31","6","2","54","64","118","243","289","48","175","232","43.00"
"813","Josh Norris","OTT","C","124","2251.9833333333","53","35","10","25","88","59.86","302","17.55","34.01","559","423","329","126","12","40","44","22","22","0","0","42","62","52","172","177","75","890","832","51.68"
"1175","Mason McTavish","ANA","C","153","2389.3166666667","38","50","34","16","88","65.19","303","12.54","39.12","547","422","324","171","17","61","130","59","58","0","1","54","49","54","130","92","74","744","829","47.30"
"13","Corey Perry","CHI, EDM, T.B","R","217","2767.3333333333","43","44","30","14","87","56.13","351","12.25","48.96","579","491","420","260","15","51","207","69","51","15","3","71","68","64","165","276","32","2","3","40.00"
"195","Nick Bjugstad","ARI, EDM, MIN","C","211","3174.2833333333","46","41","21","20","87","56.49","393","11.70","48.56","674","564","415","211","36","66","113","51","49","1","1","39","78","83","385","232","99","1288","1328","49.24"
"1098","Quinton Byfield","L.A","C, R","173","2550.35","28","59","35","24","87","58.39","275","10.18","39.4","535","429","336","194","16","53","92","42","41","0","1","33","48","77","139","296","29","216","255","45.86"
"69","Kevin Shattenkirk","ANA, BOS","D","218","4165.7333333333","18","68","41","27","86","41.75","386","4.66","16.59","752","506","213","33","18","54","110","51","50","0","1","12","109","82","215","284","325","0","1","0.00"
"35","T.J. Oshie","WSH","R","154","2614.9833333333","42","43","19","24","85","59.03","293","14.33","48.86","563","458","405","207","13","56","121","48","43","3","2","65","60","104","286","160","113","167","225","42.60"
"93","Lars Eller","COL, PIT, WSH","C","238","3712.2666666667","38","47","31","16","85","56.67","410","9.27","41.83","781","587","418","165","27","65","118","56","56","0","0","52","117","131","243","316","128","1546","1440","51.77"
"160","Marcus Foligno","MIN","L","194","2986.0666666667","40","45","30","15","85","62.50","238","16.81","30.91","424","342","282","159","19","30","268","77","48","24","5","68","70","81","654","204","109","26","26","50.00"
"223","John Klingberg","ANA, DAL, MIN, TOR","D","155","3312.5","16","69","42","27","85","45.21","265","6.04","16.56","686","406","206","22","12","38","76","38","38","0","0","23","144","45","125","325","163","0","0","-"
"351","Josh Anderson","MTL","R","216","3564.9333333333","49","35","21","14","84","50.30","457","10.72","60.52","841","680","561","272","31","64","211","75","62","9","4","72","76","84","461","220","114","54","63","46.15"
"668","Dillon Dube","CGY","C","204","2737.5333333333","39","45","22","23","84","64.62","336","11.61","38.52","572","453","379","167","17","45","75","32","30","1","1","40","61","53","258","335","52","163","180","47.52"
"788","Gabriel Vilardi","L.A, WPG","C, R","135","2120.2166666667","50","34","23","11","84","62.22","280","17.86","40.99","447","370","346","201","11","51","40","19","19","0","0","52","34","50","61","185","38","139","164","45.87"
"111","Justin Schultz","SEA, WSH","D","217","3703.8333333333","18","65","32","33","83","47.16","290","6.21","16.78","687","430","211","34","8","46","78","39","39","0","0","6","61","44","96","264","210","0","0","-"
"143","Oliver Ekman-Larsson","FLA, VAN","D","213","4323.7666666667","16","67","36","31","83","39.34","381","4.20","16.77","843","544","212","26","13","68","146","65","63","0","2","45","102","52","268","274","188","0","0","-"
"583","Mathieu Joseph","OTT, T.B","R","197","2948.5333333333","26","57","37","20","83","64.34","276","9.42","33.27","509","408","306","147","28","34","116","47","43","2","2","71","74","138","291","304","90","45","78","36.59"
"698","Samuel Girard","COL","D","202","4227.1","14","69","32","37","83","41.71","271","5.17","12.56","646","377","179","28","9","36","46","23","23","0","0","28","96","86","208","259","285","0","0","-"
"56","Jeff Petry","DET, MTL, PIT","D","202","4239.2166666667","14","68","25","43","82","41.21","321","4.36","14.43","717","448","154","23","16","57","99","47","46","1","0","22","183","45","480","307","338","0","0","-"
"221","Jesper Fast","CAR","R","235","3313.1166666667","30","52","30","22","82","59.42","252","11.90","40.88","457","376","336","215","12","36","36","18","18","0","0","34","69","66","292","384","90","29","41","41.43"
"764","Kailer Yamamoto","EDM, SEA","R","198","3035.5833333333","38","44","25","19","82","53.95","272","13.97","40.93","434","359","341","210","10","28","82","37","36","0","1","46","61","104","222","331","73","46","80","36.51"
"1119","JJ Peterka","BUF","R","161","2427.2666666667","40","42","23","19","82","62.60","354","11.30","36.04","669","503","343","137","25","40","54","22","21","0","1","40","46","63","46","176","28","8","16","33.33"
"335","Jordan Martinook","CAR","L","223","3143.7833333333","33","48","32","16","81","64.29","387","8.53","47.7","754","606","435","229","39","69","119","58","57","1","0","43","53","88","225","346","72","103","114","47.47"
"9","Zach Parise","COL, NYI","L","194","2965.7666666667","41","38","27","11","79","61.24","370","11.08","50.43","556","472","406","239","22","65","60","30","30","0","0","26","54","56","169","191","155","52","95","35.37"
"125","Jared Spurgeon","MIN","D","160","3471.6","21","58","28","30","79","37.62","286","7.34","17.51","578","398","193","46","15","38","26","13","13","0","0","11","35","31","124","183","256","0","0","-"
"87","Ryan McDonagh","NSH, T.B","D","216","4730.0833333333","9","69","32","37","78","38.05","254","3.54","15.23","571","385","179","35","12","36","59","28","27","1","0","18","139","108","197","182","346","0","1","0.00"
"124","Cam Atkinson","PHI","R","143","2448.1166666667","36","42","25","17","78","65.00","390","9.23","40.46","621","496","355","179","30","60","37","17","16","1","0","20","48","54","55","74","88","17","25","40.48"
"474","Robby Fabbri","DET","C","152","2293.2833333333","42","36","21","15","78","62.40","255","16.47","35.16","440","354","294","151","9","26","89","35","32","1","2","32","53","35","212","189","63","134","121","52.55"
"236","Travis Boyd","ARI","C","172","2731.1166666667","34","43","24","19","77","52.74","194","17.53","28.31","349","283","271","161","7","34","62","31","31","0","0","25","65","56","120","249","114","945","1181","44.45"
"907","Barrett Hayton","ARI","C","175","2963.35","32","45","24","21","77","46.39","326","9.82","43.43","548","444","390","206","14","47","88","39","38","0","1","67","67","62","184","290","70","1251","1259","49.84"
"1003","Kaapo Kakko","NYR","R","186","2729.3666666667","38","39","24","15","77","58.33","279","13.62","31.06","509","392","299","147","13","48","42","19","19","0","0","25","61","76","60","200","51","15","19","44.12"
"49","Nick Foligno","BOS, CHI","L","198","2854.8166666667","29","47","27","20","76","58.46","316","9.18","37.78","490","414","311","183","22","47","163","65","54","11","0","50","58","90","503","136","97","290","256","53.11"
"271","Adam Larsson","SEA","D","245","5623.8","20","56","27","29","76","32.07","392","5.10","17.87","863","569","233","45","17","57","157","67","63","3","1","26","83","77","567","280","434","0","0","-"
"293","Barclay Goodrow","NYR","C","241","3487.4","28","48","32","16","76","58.02","266","10.53","35.96","461","369","292","165","19","36","205","70","54","13","3","56","87","98","423","264","193","974","984","49.74"
"404","Jason Dickinson","CHI, VAN","C","222","3411.1833333333","36","40","20","20","76","61.29","306","11.76","33.31","571","432","338","149","21","43","90","38","35","2","1","36","80","128","356","334","189","1109","1187","48.30"
"522","Jake Evans","MTL","C","208","3218.8166666667","22","54","35","19","76","65.52","260","8.46","27","476","350","291","138","19","26","74","32","30","2","0","49","92","85","201","275","142","1392","1321","51.31"
"149","Nick Leddy","DET, STL","D","235","5087.2833333333","8","67","33","34","75","33.48","232","3.45","10.96","474","341","152","24","7","32","56","28","28","0","0","31","105","105","131","135","272","0","0","-"
"326","Esa Lindell","DAL","D","240","4987.3","17","58","28","30","75","34.25","366","4.64","17.03","693","474","217","37","24","41","34","17","17","0","0","18","145","82","274","422","436","0","1","0.00"
"340","Jake McCabe","CHI, TOR","D","224","4510.8333333333","15","60","26","34","75","37.31","249","6.02","12.53","552","359","168","30","12","35","145","59","53","5","1","45","151","66","548","467","421","0","0","-"
"625","Vladislav Gavrikov","CBJ, L.A","D","229","4952.7333333333","17","58","24","34","75","33.78","311","5.47","18.36","590","416","191","63","17","41","134","61","60","0","1","29","95","72","253","193","334","0","0","-"
"834","Fabian Zetterlund","N.J, S.J","L","163","2620.6166666667","33","42","33","9","75","52.08","358","9.22","39.82","700","523","367","140","21","48","47","22","21","1","0","23","56","66","189","183","75","37","68","35.24"
"969","Logan O'Connor","COL","R","220","3140.5166666667","30","45","30","15","75","60.98","316","9.49","34.86","573","439","360","185","21","47","109","47","42","5","0","52","49","118","276","357","140","36","62","36.73"
"1109","Cole Perfetti","WPG","C","140","1982.8833333333","29","46","32","14","75","68.81","254","11.42","29.19","439","344","273","131","18","34","28","14","14","0","0","10","35","44","78","141","47","41","74","35.65"
"6","Ryan Suter","DAL","D","246","5163.6666666667","12","62","22","40","74","30.83","312","3.85","14.93","755","497","210","30","10","47","94","47","47","0","0","11","121","58","213","208","297","0","0","-"
"882","Ryan McLeod","EDM","C","209","2868.2","32","42","32","10","74","66.07","266","12.03","30.94","483","380","298","137","16","36","40","20","20","0","0","26","130","128","133","275","74","901","940","48.94"
"917","Rasmus Sandin","TOR, WSH","D","190","3673.3166666667","15","59","27","32","74","37.95","206","7.28","11.43","490","297","163","31","14","34","67","29","26","3","0","21","103","66","299","397","221","0","0","-"
"1165","Cole Sillinger","CBJ","C","220","3175.2166666667","32","42","26","16","74","58.73","398","8.04","45.4","714","560","445","188","18","59","105","48","45","3","0","31","60","72","322","224","150","1120","1327","45.77"
"284","Stefan Noesen","CAR","R","161","1951.5","27","46","25","21","73","57.94","249","10.84","44.59","451","403","295","205","9","58","65","28","25","3","0","26","55","50","222","149","41","99","118","45.62"
"481","Marcus Pettersson","PIT","D","222","4385.8833333333","7","66","33","33","73","34.43","285","2.46","13.65","672","461","178","33","24","51","140","60","55","4","1","32","89","68","376","574","333","0","0","-"
"626","Mason Appleton","SEA, WPG","C","191","2984.8833333333","27","46","26","20","73","60.33","291","9.28","31.53","521","419","267","129","9","49","64","27","26","0","1","35","36","51","217","287","69","18","31","36.73"
"695","Taylor Raddysh","CHI, T.B","R","225","3363.2166666667","36","37","21","16","73","52.90","353","10.20","45.6","607","496","377","216","20","45","48","23","23","0","0","25","73","99","269","190","74","35","57","38.04"
"749","Tanner Jeannot","NSH, T.B","L","212","3039.2166666667","37","36","17","19","73","64.60","290","12.76","38.68","522","422","362","204","23","51","312","93","58","32","3","70","77","67","819","376","127","43","68","38.74"
"822","Filip Chytil","NYR","C","151","2128.6333333333","30","43","28","15","73","65.18","334","8.98","36.33","583","464","374","168","20","38","48","23","23","0","0","29","65","56","64","187","66","416","593","41.23"
"979","Blake Lizotte","L.A","C","213","2632.8166666667","28","45","31","14","73","60.83","275","10.18","29.41","444","374","263","137","15","40","106","49","47","2","0","62","39","74","234","420","43","897","882","50.42"
"161","Craig Smith","BOS, DAL, WSH","C","213","2537.8166666667","36","36","19","17","72","63.16","403","8.93","37.66","712","546","386","172","29","64","79","37","36","1","0","27","74","64","195","252","73","7","18","28.00"
"325","Oskar Sundqvist","DET, MIN, STL","C","197","2695.2333333333","24","48","31","17","72","56.25","207","11.59","28.79","378","298","238","124","11","29","89","39","37","1","1","57","58","55","215","209","100","349","485","41.85"
"339","Teddy Blueger","PIT, VAN, VGK","C","196","2805.0833333333","19","53","31","22","72","68.57","275","6.91","32.34","422","352","280","163","23","38","71","26","23","1","2","28","53","90","257","194","119","1071","957","52.81"
"496","Michael Amadio","TOR, VGK","C, R","196","2476.8333333333","41","31","18","13","72","59.02","280","14.64","29.7","450","360","279","147","21","39","43","20","19","1","0","32","49","95","146","290","74","130","139","48.33"
"629","Matt Roy","L.A","D","230","4638","16","56","35","21","72","32.58","423","3.78","20","821","597","214","47","16","70","92","41","40","0","1","14","149","27","395","484","258","0","0","-"
"671","Sam Steel","ANA, DAL, MIN","C","210","2829.2833333333","25","47","27","20","72","61.54","238","10.50","26.91","435","335","273","132","19","35","63","30","29","1","0","28","60","67","141","253","71","605","649","48.25"
"827","David Kampf","TOR","C","242","3558.9333333333","26","46","24","22","72","54.55","288","9.03","32.55","474","378","289","143","21","41","46","23","23","0","0","32","71","113","238","367","79","1676","1558","51.82"
"1153","Janis Moser","ARI","D","205","4174.7833333333","16","56","22","34","72","38.50","210","7.62","13.26","503","305","188","42","15","40","86","40","38","2","0","31","102","45","211","380","288","0","0","-"
"173","Nic Dowd","WSH","C","193","2753.6166666667","35","36","25","11","71","68.27","213","16.43","25.79","346","283","236","110","12","29","117","53","52","1","0","49","78","102","393","275","178","1432","1387","50.80"
"237","Dylan DeMelo","WPG","D","233","4654.8333333333","10","61","28","33","71","33.97","254","3.94","11.31","527","360","119","20","11","34","114","57","57","0","0","33","155","51","400","381","334","0","0","-"
"277","Jonas Brodin","MIN","D","195","4531.8833333333","15","56","18","38","71","32.57","333","4.50","14.63","645","442","173","38","15","31","64","32","32","0","0","18","72","77","113","308","366","0","0","-"
"422","Brett Pesce","CAR","D","222","4744.0333333333","15","56","28","28","71","32.42","399","3.76","17.17","956","613","222","35","20","84","102","40","36","2","2","35","73","140","101","260","293","0","0","-"
"1159","Owen Power","BUF","D","163","3798.9333333333","12","59","29","30","71","33.02","248","4.84","15.24","471","329","192","44","5","46","54","23","22","0","1","15","92","51","73","261","192","0","0","-"
"129","Tyler Johnson","CHI","C","149","2306.15","32","38","19","19","70","66.67","267","11.99","36.06","469","375","293","134","14","43","54","27","27","0","0","18","46","64","134","80","62","245","270","47.57"
"488","Christian Dvorak","MTL","C, L","150","2518.0166666667","26","44","24","20","70","63.64","210","12.38","28.96","351","275","237","123","6","28","34","13","12","0","1","16","80","48","61","129","122","1222","1003","54.92"
"986","Bowen Byram","BUF, COL","D","145","2968.1","26","44","20","24","70","46.67","198","13.13","13.95","447","291","171","39","7","31","103","47","44","3","0","22","64","47","229","341","173","0","0","-"
"1008","Arthur Kaliyev","L.A","R","187","2267.8","34","36","26","10","70","55.56","417","8.15","40.14","748","583","393","153","23","72","63","25","23","1","1","16","49","39","104","227","19","0","1","0.00"
"1015","Philip Tomasino","NSH","C","148","1875.7166666667","23","47","33","14","70","74.47","227","10.13","25.02","403","328","268","92","11","43","31","14","13","1","0","28","66","43","90","173","59","34","57","37.36"
"1089","Jake Sanderson","OTT","D","156","3522.1166666667","14","56","23","33","70","38.04","290","4.83","17.66","634","428","166","26","13","56","35","16","15","1","0","23","134","67","92","357","279","1","0","100.00"
"103","Josh Bailey","NYI","C, R","138","2218.4666666667","22","47","30","17","69","64.49","159","13.84","18.29","271","209","194","78","9","27","8","4","4","0","0","5","90","52","30","65","56","83","123","40.29"
"220","Brendan Gallagher","MTL","R","170","2431.3333333333","31","38","27","11","69","63.30","389","7.97","50.43","723","537","432","233","16","82","178","66","58","4","4","59","64","50","135","178","72","33","53","38.37"
"19","Mark Giordano","SEA, TOR","D","199","3808.5166666667","15","53","25","28","68","35.60","318","4.72","14.52","727","458","192","22","19","52","159","63","57","3","3","24","124","48","186","418","347","0","0","-"
"62","Jonathan Toews","CHI","C","124","2179.4166666667","27","41","27","14","68","61.82","212","12.74","22.9","326","271","218","111","13","23","82","34","31","2","1","24","76","85","34","115","42","1382","895","60.69"
"89","Jakub Voracek","CBJ","R","90","1554.35","7","61","42","19","68","70.83","164","4.27","12.98","280","211","136","48","11","14","44","14","12","0","2","27","52","48","29","64","32","6","30","16.67"
"118","TJ Brodie","TOR","D","218","4672.4","7","61","25","36","68","30.63","178","3.93","8.35","379","244","98","23","5","29","88","40","39","0","1","34","158","76","141","432","362","0","0","-"
"242","Sean Kuraly","CBJ","C","210","3142.6833333333","34","34","16","18","68","55.74","313","10.86","35.26","540","432","277","131","26","47","169","71","67","1","3","47","59","81","583","226","128","1466","1511","49.24"
"314","Cody Ceci","EDM","D","237","4822.45","11","57","18","39","68","31.63","287","3.83","12.23","606","391","159","30","15","46","52","26","26","0","0","10","98","60","347","473","311","0","0","-"
"400","Ryan Graves","N.J, PIT","D","223","4397.2333333333","17","51","22","29","68","32.85","329","5.17","13.69","721","452","190","33","20","56","82","40","40","0","0","30","138","69","245","307","241","0","0","-"
"598","John Marino","N.J, PIT","D","220","4591.9666666667","9","59","28","31","68","35.05","214","4.21","14.18","490","306","138","36","12","42","84","35","32","2","1","38","106","127","156","370","182","0","0","-"
"30","Paul Stastny","CAR, WPG","C","144","2129.1166666667","30","37","20","17","67","54.47","221","13.57","34.21","333","292","270","187","12","40","30","15","15","0","0","14","29","58","48","70","39","547","411","57.10"
"927","Kirill Marchenko","CBJ","R","137","2235.45","44","23","16","7","67","52.34","324","13.58","35.41","612","448","367","129","12","45","30","14","14","0","0","27","47","80","89","163","74","35","60","36.84"
"137","Jakob Silfverberg","ANA","R","215","3189.6833333333","22","44","23","21","66","51.56","363","6.06","32.3","609","495","288","131","28","38","86","43","43","0","0","34","60","81","42","194","114","43","83","34.13"
"333","Jimmy Vesey","N.J, NYR","L","229","3073.4333333333","32","34","17","17","66","61.68","349","9.17","46.11","599","486","357","181","40","46","52","20","16","4","0","28","80","149","273","123","79","31","71","30.39"
"346","Andreas Athanasiou","CHI, L.A","C","137","2089.5666666667","33","33","18","15","66","68.04","290","11.38","31.61","540","420","280","129","20","38","45","16","14","1","1","34","65","92","65","112","63","170","188","47.49"
"436","Ryan Pulock","NYI","D","196","4204.8333333333","15","51","23","28","66","32.35","338","4.44","15.07","735","477","176","16","11","65","28","14","14","0","0","15","99","57","325","281","383","0","0","-"
"546","Jordan Greenway","BUF, MIN","L","191","2895.8833333333","26","40","19","21","66","45.21","316","8.23","35.86","554","437","307","154","14","53","159","67","61","5","1","42","50","56","403","193","122","37","83","30.83"
"643","Brandon Tanev","SEA","L","178","2565.8666666667","32","34","22","12","66","66.00","239","13.39","35.97","405","342","259","147","17","32","108","37","28","8","1","56","48","74","436","264","142","13","44","22.81"
"985","Kirby Dach","CHI, MTL","C","130","2361.35","23","43","24","19","66","52.38","226","10.18","27.24","388","311","247","134","12","25","86","40","38","2","0","33","48","70","105","266","75","269","511","34.49"
"169","Ben Chiarot","DET, FLA, MTL","D","227","4779.8833333333","19","46","27","19","65","33.51","360","5.28","15.84","731","485","188","32","19","38","155","76","75","1","0","26","121","47","467","358","442","0","0","-"
"332","Adam Pelech","NYI","D","197","4157.15","10","55","24","31","65","36.72","272","3.68","14.36","643","409","183","36","9","48","103","46","44","1","1","25","117","94","240","292","332","0","0","-"
"369","Nate Schmidt","WPG","D","211","3926.7333333333","13","52","24","28","65","38.46","293","4.44","15.74","670","441","169","30","10","59","34","17","17","0","0","21","142","70","148","180","242","0","0","-"
"452","Garnet Hathaway","BOS, PHI, WSH","R","242","3032.35","34","31","16","15","65","54.62","315","10.79","37.1","538","427","341","194","15","43","258","87","72","8","7","105","49","48","844","422","204","35","39","47.30"
"599","Yakov Trenin","COL, NSH","C","233","3447.3","41","24","15","9","65","55.08","392","10.46","50.04","745","582","431","205","33","48","133","48","39","7","2","40","100","125","565","259","90","125","166","42.96"
"706","Michael McLeod","N.J","C","202","2687.7166666667","20","45","23","22","65","60.19","241","8.30","26.28","414","329","238","112","16","31","105","38","30","7","1","46","75","97","373","276","45","1615","1060","60.37"
"840","Noah Cates","PHI","L","157","2482.8833333333","24","41","23","18","65","61.90","208","11.54","28.57","398","296","267","141","13","49","16","8","8","0","0","20","21","103","159","212","97","563","828","40.47"
"984","Peyton Krebs","BUF, VGK","C","211","2853.6666666667","20","45","25","20","65","58.56","209","9.57","20.86","383","300","232","99","16","20","139","55","50","3","2","42","76","47","226","293","51","596","747","44.38"
"104","Tyler Myers","VAN","D","237","4892.3833333333","7","57","27","30","64","30.05","321","2.18","16.49","694","459","211","33","14","40","219","87","79","5","3","27","137","70","348","313","418","0","0","-"
"172","Nick Jensen","WSH","D","231","4588.8333333333","11","53","27","26","64","34.97","268","4.10","13.24","659","421","178","32","6","45","49","23","22","1","0","51","158","81","304","521","327","0","0","-"
"247","Nick Cousins","FLA, NSH","C","216","2559.7","25","39","17","22","64","65.31","317","7.89","30.64","527","421","311","150","15","45","133","48","39","7","2","71","64","67","283","381","92","111","114","49.33"
"503","Sam Lafferty","CHI, PIT, TOR, VAN","C, R","205","2721.05","30","34","19","15","64","69.57","260","11.54","30.72","435","350","291","148","29","30","102","37","30","6","1","46","72","67","454","308","89","506","598","45.83"
"806","Timothy Liljegren","TOR","D","183","3281.9333333333","14","50","20","30","64","35.96","225","6.22","10.82","476","316","148","24","9","34","60","29","29","0","0","18","120","40","286","448","256","0","0","-"
"88","Max Pacioretty","CAR, VGK, WSH","L","91","1424.3666666667","26","37","20","17","63","70.79","259","10.04","26.45","482","372","263","90","16","41","60","23","20","2","1","18","41","30","110","132","44","7","19","26.92"
"175","Brenden Dillon","WPG","D","238","4537.1166666667","13","50","19","31","63","32.47","247","5.26","10.19","612","377","150","19","11","46","225","82","64","17","1","43","126","40","651","290","304","0","0","-"
"437","Nikita Zadorov","CGY, VAN","D","231","4091.65","24","39","23","16","63","37.06","326","7.36","14.69","745","495","203","23","16","49","272","103","89","10","4","45","150","80","532","285","182","0","0","-"
