"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"390","Jake Guentzel","CAR, PIT","C, L","221","4437.8333333333","106","128","82","46","234","65.18","746","14.21","112.06","1320","1031","985","498","27","144","112","54","54","0","0","85","97","118","203","405","107","27","37","42.19"
"537","Kyle Connor","WPG","L","226","4685.8166666667","112","122","71","51","234","73.58","811","13.81","86.32","1394","1064","842","290","39","94","30","15","15","0","0","24","118","147","89","180","63","5","16","23.81"
"20","Alex Ovechkin","WSH","L","229","4577.4","123","107","62","45","230","67.45","900","13.67","99.98","1825","1275","804","248","44","141","86","38","37","0","1","32","137","89","507","121","71","8","16","33.33"
"465","Kevin Fiala","L.A, MIN","L","233","4139.7166666667","85","145","85","60","230","76.16","695","12.23","75.57","1281","973","723","283","31","91","166","73","71","0","2","71","148","101","172","285","50","22","47","31.88"
"702","Jesper Bratt","N.J","L","240","4331.4833333333","85","144","84","60","229","68.36","657","12.94","69.79","1153","916","719","288","43","98","34","17","17","0","0","46","135","109","116","221","52","8","17","32.00"
"1007","Jack Hughes","N.J","C","189","3816.4666666667","96","133","85","48","229","77.89","775","12.39","81.85","1371","1006","760","248","39","112","18","9","9","0","0","65","216","173","28","246","33","404","730","35.63"
"793","Robert Thomas","STL","C","227","4482.9333333333","64","164","101","63","228","68.26","391","16.37","51.09","692","553","473","205","18","39","86","39","38","0","1","43","144","197","44","219","96","2084","1913","52.14"
"18","Joe Pavelski","DAL","C","246","4346.5","82","143","80","63","225","61.98","595","13.78","85.64","1041","836","733","432","24","111","42","21","21","0","0","62","157","92","272","176","189","1117","1018","52.32"
"665","Clayton Keller","ARI","C, R","227","4550.5333333333","98","127","87","40","225","77.59","629","15.58","64.57","1087","861","577","188","31","85","109","49","47","1","1","76","163","162","55","262","87","81","115","41.33"
"881","Brady Tkachuk","OTT","L","242","4563.6833333333","102","122","86","36","224","66.27","992","10.28","129.37","1594","1344","1037","579","51","171","377","120","91","19","10","124","168","119","806","327","66","788","792","49.87"
"270","Jonathan Huberdeau","CGY, FLA","C, L","240","4297.1","57","165","102","63","222","70.93","491","11.61","61.52","856","674","552","246","32","69","137","55","51","1","3","68","213","149","224","227","88","38","62","38.00"
"138","John Tavares","TOR","C","239","4269.2333333333","92","129","66","63","221","65.77","793","11.60","118.82","1377","1124","1024","588","29","150","96","48","48","0","0","48","170","123","336","336","113","2341","1598","59.43"
