"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"18","Nashville Predators","82","4952.3667","47","30","5","44","99","0.604","5206","4813","51.96","3782","3471","52.14","2641","2506","51.31","266","248","51.75","276.43","250.24","52.49","2573","2309","52.70","1419","1268","52.81","211","187","53.02","14.87","85.25","1073","926","53.68","729","627","53.76","145","116","55.56","19.89","81.50","1500","1383","52.03","690","641","51.84","66","71","48.18","9.57","88.92","3059","2872","51.58","1099","1098","50.02","43","54","44.33","3.91","95.08","10.07","90.10","1.002"
"19","New York Islanders","82","4983.1","39","27","16","38","94","0.573","4821","5519","46.62","3525","3846","47.82","2470","2686","47.91","245","258","48.71","246.26","265.07","48.16","2320","2573","47.41","1282","1343","48.84","199","198","50.13","15.52","85.26","983","1007","49.40","682","677","50.18","119","116","50.64","17.45","82.87","1337","1566","46.06","600","666","47.39","80","82","49.38","13.33","87.69","2864","3241","46.91","1070","1206","47.01","45","53","45.92","4.21","95.61","9.92","90.39","1.003"
"20","New York Rangers","82","4974.6333","55","23","4","51","114","0.695","5166","4904","51.30","3784","3532","51.72","2582","2420","51.62","278","226","55.16","267.87","248.88","51.84","2470","2282","51.98","1325","1264","51.18","207","186","52.67","15.62","85.28","1010","956","51.37","647","646","50.04","123","120","50.62","19.01","81.42","1460","1326","52.40","678","618","52.31","84","66","56.00","12.39","89.32","3094","2897","51.64","1149","1033","52.66","62","35","63.92","5.40","96.61","10.77","90.66","1.014"
"21","Ottawa Senators","82","4974.95","37","41","4","32","78","0.476","5188","4891","51.47","3761","3432","52.29","2602","2433","51.68","250","281","47.08","263.98","245.11","51.85","2424","2358","50.69","1369","1256","52.15","200","218","47.85","14.61","82.64","978","949","50.75","665","639","51.00","121","132","47.83","18.20","79.34","1446","1409","50.65","704","617","53.29","79","86","47.88","11.22","86.06","3100","2824","52.33","1079","1039","50.94","44","57","43.56","4.08","94.51","9.61","88.45","0.981"
"22","Philadelphia Flyers","82","4976.8667","38","33","11","34","87","0.530","5252","4917","51.65","3827","3280","53.85","2708","2225","54.90","231","258","47.24","250.97","234.95","51.65","2370","2303","50.72","1307","1153","53.13","184","217","45.89","14.08","81.18","1005","900","52.76","666","581","53.41","113","129","46.69","16.97","77.80","1365","1403","49.31","641","572","52.84","71","88","44.65","11.08","84.62","3221","2895","52.67","1258","935","57.36","42","41","50.60","3.34","95.61","8.53","88.40","0.969"
"23","Pittsburgh Penguins","82","4971.4833","38","32","12","36","88","0.537","5361","5042","51.53","3843","3701","50.94","2686","2480","51.99","253","248","50.50","285.87","254.37","52.92","2588","2421","51.67","1393","1302","51.69","186","202","47.94","13.35","84.49","1099","948","53.69","744","628","54.23","123","146","45.72","16.53","76.75","1489","1473","50.27","649","674","49.06","63","56","52.94","9.71","91.69","3173","2936","51.94","1140","1048","52.10","59","43","57.84","5.18","95.90","9.42","90.00","0.994"
"24","San Jose Sharks","82","4970.15","19","54","9","18","47","0.287","4370","5826","42.86","3075","4191","42.32","2069","2881","41.80","180","326","35.57","206.12","303.75","40.43","1985","2929","40.39","1019","1574","39.30","148","259","36.36","14.52","83.55","802","1182","40.42","503","774","39.39","84","153","35.44","16.70","80.23","1183","1747","40.38","516","800","39.21","64","106","37.65","12.40","86.75","2676","3428","43.84","935","1182","44.17","29","61","32.22","3.10","94.84","8.70","88.68","0.974"
"25","Seattle Kraken","82","4993.95","34","35","13","31","81","0.494","5039","4844","50.99","3486","3543","49.59","2348","2391","49.55","214","232","47.98","233.8","237.46","49.61","2367","2164","52.24","1194","1128","51.42","169","181","48.29","14.15","83.95","911","868","51.21","565","528","51.69","105","118","47.09","18.58","77.65","1456","1296","52.91","629","600","51.18","64","63","50.39","10.17","89.50","3012","3108","49.22","1031","1132","47.67","41","40","50.62","3.98","96.47","9.11","90.30","0.994"
"26","St Louis Blues","82","4977.45","43","33","6","38","92","0.561","4551","5150","46.91","3369","3804","46.97","2370","2636","47.34","234","248","48.55","240.82","279.19","46.31","2213","2501","46.95","1240","1355","47.78","191","200","48.85","15.40","85.24","880","1104","44.35","604","716","45.76","113","127","47.08","18.71","82.26","1333","1397","48.83","636","639","49.88","78","73","51.66","12.26","88.58","2715","3049","47.10","1004","1159","46.42","34","39","46.58","3.39","96.64","9.87","90.59","1.005"
"27","Tampa Bay Lightning","82","4962.6833","45","29","8","42","98","0.598","4946","4762","50.95","3518","3402","50.84","2403","2430","49.72","288","267","51.89","255.02","251.22","50.38","2410","2265","51.55","1277","1276","50.02","224","209","51.73","17.54","83.62","964","935","50.76","640","644","49.84","137","122","52.90","21.41","81.06","1446","1330","52.09","637","632","50.20","87","87","50.00","13.66","86.23","2855","2762","50.83","1016","1023","49.83","60","49","55.05","5.91","95.21","11.99","89.01","1.010"
"28","Toronto Maple Leafs","82","4995.9","46","26","10","41","102","0.622","5246","5075","50.83","3811","3628","51.23","2671","2446","52.20","298","261","53.31","275.75","252.07","52.24","2620","2418","52.00","1465","1306","52.87","245","208","54.08","16.72","84.07","1153","986","53.90","770","664","53.70","147","129","53.26","19.09","80.57","1467","1432","50.60","695","642","51.98","98","79","55.37","14.10","87.69","3056","2929","51.06","1066","1031","50.83","45","48","48.39","4.22","95.34","11.16","89.33","1.005"
"29","Vancouver Canucks","82","4964.75","50","23","9","50","109","0.665","4837","4606","51.22","3477","3356","50.89","2328","2341","49.86","279","221","55.80","261.73","236.29","52.55","2385","2141","52.70","1257","1179","51.60","223","178","55.61","17.74","84.90","1069","936","53.32","688","634","52.04","146","118","55.30","21.22","81.39","1316","1205","52.20","569","545","51.08","77","60","56.20","13.53","88.99","2860","2811","50.43","950","1048","47.55","47","39","54.65","4.95","96.28","11.98","90.56","1.025"
"30","Vegas Golden Knights","82","4975.25","45","29","8","41","98","0.598","4982","5227","48.80","3550","3616","49.54","2548","2487","50.61","263","243","51.98","247.7","240.91","50.69","2377","2404","49.72","1326","1214","52.20","216","187","53.60","16.29","84.60","947","926","50.56","652","577","53.05","126","112","52.94","19.33","80.59","1430","1478","49.17","674","637","51.41","90","75","54.55","13.35","88.23","2989","3069","49.34","1067","1140","48.35","36","48","42.86","3.37","95.79","10.32","90.23","1.006"
"31","Winnipeg Jets","82","4951.15","52","24","6","52","110","0.671","4903","4846","50.29","3593","3510","50.58","2489","2429","50.61","259","198","56.67","250.92","244.55","50.64","2262","2255","50.08","1238","1229","50.18","220","168","56.70","17.77","86.33","961","994","49.16","666","652","50.53","141","108","56.63","21.17","83.44","1301","1261","50.78","572","577","49.78","79","60","56.83","13.81","89.60","2987","2900","50.74","1128","1066","51.41","36","24","60.00","3.19","97.75","10.41","91.85","1.023"
"32","Washington Capitals","82","4991.35","40","31","11","36","91","0.555","4572","5256","46.52","3219","3714","46.43","2172","2503","46.46","216","252","46.15","242.61","259.14","48.35","2203","2380","48.07","1126","1262","47.15","174","203","46.15","15.45","83.91","939","985","48.80","593","659","47.36","121","130","48.21","20.40","80.27","1264","1395","47.54","533","603","46.92","53","73","42.06","9.94","87.89","2607","3206","44.85","941","1110","45.88","40","45","47.06","4.25","95.95","9.94","89.93","0.999"
