"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"791","Adam Fantilli","CBJ","C","40","655.15","8","9","5","4","17","58.62","75","10.67","6.07","157","108","58","19","6","9","10","5","5","0","0","13","42","13","61","53","30","179","256","41.15"
"10","Kris Letang","PIT","D","35","821.15","7","9","5","4","16","41.03","86","8.14","5.66","163","113","42","11","8","20","16","8","8","0","0","7","42","20","57","43","42","0","0","-"
"18","Jordan Staal","CAR","C","40","616.03333333333","4","12","8","4","16","69.57","55","7.27","8.74","100","81","77","46","1","15","10","5","5","0","0","4","27","4","61","31","22","392","324","54.75"
"46","Gustav Nyquist","NSH","C, R","39","682.08333333333","7","9","5","4","16","53.33","51","13.73","9.19","118","79","63","26","4","10","8","4","4","0","0","12","38","9","17","34","18","9","7","56.25"
"158","Yanni Gourde","SEA","C","35","544.86666666667","6","10","4","6","16","64.00","38","15.79","6.07","83","64","43","26","4","11","36","10","7","2","1","9","23","11","58","39","26","183","184","49.86"
"224","Andrew Copp","DET","C","39","556.03333333333","7","9","7","2","16","64.00","44","15.91","6.49","74","61","53","27","6","4","6","3","3","0","0","5","23","15","5","24","22","208","201","50.86"
"264","Frederick Gaudreau","MIN","C","40","594.1","7","9","8","1","16","64.00","59","11.86","5.74","107","80","55","25","5","4","6","3","3","0","0","3","18","9","17","24","21","233","237","49.57"
"302","Danton Heinen","VAN","L","39","535.35","5","11","4","7","16","61.54","32","15.63","4.66","73","51","44","20","5","3","31","10","8","1","1","4","21","8","42","33","21","12","15","44.44"
"312","Andrew Mangiapane","WSH","L","39","516.58333333333","9","7","4","3","16","61.54","48","18.75","7.63","92","74","69","33","5","10","10","5","5","0","0","12","31","7","35","32","14","4","0","100.00"
"375","Vladislav Gavrikov","L.A","D","38","904.63333333333","2","14","4","10","16","38.10","45","4.44","3.47","121","69","36","7","8","11","8","4","4","0","0","3","26","12","18","43","80","0","0","-"
